year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2016,U32,85+,479568,0,0,0,0,Denmark,DNK
2016,U32,Alle,22991644,8,4,32,18,Denmark,DNK
2016,U33,00-01,475904,0,0,0,0,Denmark,DNK
2016,U33,02-06,1232808,0,0,0,0,Denmark,DNK
2016,U33,07-14,2151344,0,0,0,0,Denmark,DNK
2016,U33,15-44,8694504,0,0,0,0,Denmark,DNK
2016,U33,45-64,6065192,0,0,0,0,Denmark,DNK
2016,U33,65-74,2584188,0,0,0,0,Denmark,DNK
2016,U33,75-84,1308136,0,0,0,0,Denmark,DNK
2016,U33,85+,479568,0,0,0,0,Denmark,DNK
2016,U33,Alle,22991644,0,0,0,0,Denmark,DNK
2016,U34,00-01,475904,0,0,0,0,Denmark,DNK
2016,U34,02-06,1232808,0,0,0,0,Denmark,DNK
2016,U34,07-14,2151344,0,0,0,0,Denmark,DNK
2016,U34,15-44,8694504,3,2,45,41,Denmark,DNK
2016,U34,45-64,6065192,0,0,0,0,Denmark,DNK
2016,U34,65-74,2584188,0,0,0,0,Denmark,DNK
2016,U34,75-84,1308136,0,0,0,0,Denmark,DNK
2016,U34,85+,479568,0,0,0,0,Denmark,DNK
2016,U34,Alle,22991644,3,2,15,14,Denmark,DNK
2016,U35,00-01,475904,0,0,0,0,Denmark,DNK
2016,U35,02-06,1232808,0,0,0,0,Denmark,DNK
