country,country_code,year,epiweek,month,age,type
Denmark,DNK,2023,10,03,0-5 months,cases
Denmark,DNK,2024,10,03,0-5 months,cases
Denmark,DNK,2016,11,03,0-5 months,cases
Denmark,DNK,2017,11,03,0-5 months,cases
Denmark,DNK,2018,11,03,0-5 months,cases
Denmark,DNK,2019,11,03,0-5 months,cases
Denmark,DNK,2020,11,03,0-5 months,cases
Denmark,DNK,2021,11,03,0-5 months,cases
Denmark,DNK,2022,11,03,0-5 months,cases
Denmark,DNK,2023,11,03,0-5 months,cases
Denmark,DNK,2024,11,03,0-5 months,cases
Denmark,DNK,2016,12,03,0-5 months,cases
Denmark,DNK,2017,12,03,0-5 months,cases
Denmark,DNK,2018,12,03,0-5 months,cases
Denmark,DNK,2019,12,03,0-5 months,cases
Denmark,DNK,2020,12,03,0-5 months,cases
Denmark,DNK,2021,12,03,0-5 months,cases
Denmark,DNK,2022,12,03,0-5 months,cases
Denmark,DNK,2023,12,03,0-5 months,cases
Denmark,DNK,2024,12,03,0-5 months,cases
Denmark,DNK,2016,13,03,0-5 months,cases
Denmark,DNK,2017,13,03,0-5 months,cases
Denmark,DNK,2018,13,03,0-5 months,cases
Denmark,DNK,2019,13,03,0-5 months,cases
Denmark,DNK,2020,13,03,0-5 months,cases
Denmark,DNK,2021,13,03,0-5 months,cases
Denmark,DNK,2022,13,03,0-5 months,cases
Denmark,DNK,2023,13,03,0-5 months,cases
Denmark,DNK,2024,13,03,0-5 months,cases
Denmark,DNK,2016,14,04,0-5 months,cases
Denmark,DNK,2017,14,04,0-5 months,cases
Denmark,DNK,2018,14,04,0-5 months,cases
Denmark,DNK,2019,14,04,0-5 months,cases
Denmark,DNK,2020,14,03,0-5 months,cases
Denmark,DNK,2021,14,04,0-5 months,cases
Denmark,DNK,2022,14,04,0-5 months,cases
Denmark,DNK,2023,14,04,0-5 months,cases
Denmark,DNK,2024,14,04,0-5 months,cases
Denmark,DNK,2016,15,04,0-5 months,cases
Denmark,DNK,2017,15,04,0-5 months,cases
Denmark,DNK,2018,15,04,0-5 months,cases
Denmark,DNK,2019,15,04,0-5 months,cases
Denmark,DNK,2020,15,04,0-5 months,cases
Denmark,DNK,2021,15,04,0-5 months,cases
Denmark,DNK,2022,15,04,0-5 months,cases
Denmark,DNK,2023,15,04,0-5 months,cases
Denmark,DNK,2024,15,04,0-5 months,cases
Denmark,DNK,2016,16,04,0-5 months,cases
Denmark,DNK,2017,16,04,0-5 months,cases
Denmark,DNK,2018,16,04,0-5 months,cases
Denmark,DNK,2019,16,04,0-5 months,cases
Denmark,DNK,2020,16,04,0-5 months,cases
Denmark,DNK,2021,16,04,0-5 months,cases
Denmark,DNK,2022,16,04,0-5 months,cases
Denmark,DNK,2023,16,04,0-5 months,cases
Denmark,DNK,2024,16,04,0-5 months,cases
Denmark,DNK,2016,17,04,0-5 months,cases
Denmark,DNK,2017,17,04,0-5 months,cases
Denmark,DNK,2018,17,04,0-5 months,cases
Denmark,DNK,2019,17,04,0-5 months,cases
Denmark,DNK,2020,17,04,0-5 months,cases
Denmark,DNK,2021,17,04,0-5 months,cases
Denmark,DNK,2022,17,04,0-5 months,cases
Denmark,DNK,2023,17,04,0-5 months,cases
Denmark,DNK,2024,17,04,0-5 months,cases
Denmark,DNK,2016,18,05,0-5 months,cases
Denmark,DNK,2017,18,05,0-5 months,cases
Denmark,DNK,2018,18,04,0-5 months,cases
Denmark,DNK,2019,18,04,0-5 months,cases
Denmark,DNK,2020,18,04,0-5 months,cases
Denmark,DNK,2021,18,05,0-5 months,cases
Denmark,DNK,2022,18,05,0-5 months,cases
Denmark,DNK,2023,18,05,0-5 months,cases
Denmark,DNK,2024,18,04,0-5 months,cases
Denmark,DNK,2016,19,05,0-5 months,cases
Denmark,DNK,2017,19,05,0-5 months,cases
Denmark,DNK,2018,19,05,0-5 months,cases
Denmark,DNK,2019,19,05,0-5 months,cases
Denmark,DNK,2020,19,05,0-5 months,cases
