year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2019,W33,5,0,4,0,1,0,0.03,0.36,0.05,0.13,0.13,0.12
2018,W32,1,0,0,0,0,1,0.03,0,0,0.03,0.04,0.02
2021,W02,0,0,0,0,0,0,0,0,0,0,0,0
2019,W34,8,0,2,1,2,3,0,0.36,0.02,0.08,0.21,0.1
2018,W33,2,1,0,0,1,0,0.1,0,0.05,0.05,0.04,0.05
2019,W35,3,0,1,0,0,2,0,0.16,0.02,0.05,0.34,0.09
2021,W03,0,0,0,0,0,0,0,0,0,0,0,0
2018,W34,5,2,0,2,1,0,0.13,0,0.05,0.13,0.04,0.08
2021,W04,0,0,0,0,0,0,0,0,0,0,0,0
2018,W35,5,1,0,0,3,1,0.1,0,0.05,0.1,0.04,0.06
2021,W05,0,0,0,0,0,0,0,0,0,0,0,0
2018,W36,0,0,0,0,0,0,0.03,0,0,0.1,0.04,0.04
2018,W37,1,0,0,0,1,0,0,0,0.02,0.03,0,0.01
2020,W09,304,120,37,69,31,46,13.43,5.53,3.89,2.11,5.62,5.79
2020,W10,297,160,36,50,26,25,13.17,4.65,3.84,2.06,5.62,5.61
2020,W11,265,120,17,45,23,60,12.48,3.72,3.12,1.88,5.5,5.08
2020,W12,223,99,19,38,24,43,17.09,5.43,5.06,3.27,11.04,7.93
2020,W13,737,300,69,133,80,154,13.2,4.76,4.17,2.73,8.54,6.33
2020,W14,18,2,4,7,2,2,10.7,3.93,3.54,2.16,6.87,5.17
2020,W15,43,23,3,11,2,4,0.89,0.41,0.54,0.13,0.3,0.46
2020,W16,10,2,1,5,1,1,0.86,0.21,0.37,0.1,0.26,0.36
2020,W17,3,1,0,0,1,1,0.16,0.1,0.14,0.08,0.09,0.12
2020,W18,5,2,1,1,1,0,0.1,0.1,0.02,0.05,0.04,0.06
2020,W19,1,0,1,0,0,0,0.07,0.16,0.07,0.03,0,0.06
2020,W20,3,0,1,2,0,0,0,0.16,0.05,0.03,0,0.04
2020,W21,2,0,1,0,1,0,0.03,0.1,0.05,0.03,0,0.04
